Phylum,Comparison,OddsRatio,P_Value,Adjusted_P_Value
Foraminifera,AVITI_Unique_vs_Both,4.93373900933248,9.12463185936822e-07,0.000102195876824924
Dinophyceae,AVITI_Unique_vs_Both,0.410562537609118,1.74455122516502e-05,0.000976948686092414
Rhodophyta,MiSeq_Unique_vs_Both,78.9867040553506,0.000210032003527359,0.0069521493853837
Porifera,AVITI_Unique_vs_Both,7.15989983302581,0.000248291049477989,0.0069521493853837
Basidiomycota,AVITI_Unique_vs_Both,5.7220861251563,0.000616637529632554,0.0138126806637692
Porifera,MiSeq_Unique_vs_Both,19.9253128054342,0.00169429798957661,0.0271087678332258
Mollusca,AVITI_Unique_vs_Both,5.23207869569365,0.00149393586677488,0.0271087678332258
Basidiomycota,MiSeq_Unique_vs_Both,15.9476726748283,0.00263855519984567,0.0328353535980794
Cercozoa,AVITI_Unique_vs_Both,0.32013017675365,0.00259233339702183,0.0328353535980794
Dinophyceae,MiSeq_Unique_vs_Both,0,0.00371367950401386,0.0415932104449552
Discosea,MiSeq_Unique_vs_Both,51.4186635312782,0.00429562486221255,0.0437372713243459
Bacillariophyta,AVITI_Unique_vs_Both,0.529553811120468,0.0136632291184291,0.127523471772004
Streptophyta,AVITI_Unique_vs_Both,2.89509789423345,0.0238625656899076,0.205585181328435
Rhodophyta,AVITI_Unique_vs_Both,9.37538283600836,0.0307498598539877,0.229598953576442
Discosea,AVITI_Unique_vs_Both,9.37538283600836,0.0307498598539877,0.229598953576442
Sulcozoa,MiSeq_Unique_vs_Both,Inf,0.0388349514563107,0.255853797829811
Ctenophora,AVITI_Unique_vs_Both,0,0.0380221742559578,0.255853797829811
Ochrophyta,AVITI_Unique_vs_Both,0.466287842911783,0.0514902544974197,0.320383805761722
Annelida,AVITI_Unique_vs_Both,1.56056784905023,0.0712286429013177,0.406021081408764
Ascomycota,AVITI_Unique_vs_Both,2.35652503891877,0.0725037645372792,0.406021081408764
Sulcozoa,AVITI_Unique_vs_Both,Inf,0.0902119987520054,0.465215977066602
Cryptista,AVITI_Unique_vs_Both,0.398534870812451,0.0913817097809396,0.465215977066602
Hemichordata,MiSeq_Unique_vs_Both,12.5898948693988,0.112155276331501,0.465236701819562
Zoopagomycota,MiSeq_Unique_vs_Both,12.5898948693988,0.112155276331501,0.465236701819562
Choanozoa,MiSeq_Unique_vs_Both,12.5898948693988,0.112155276331501,0.465236701819562
Chordata,AVITI_Unique_vs_Both,1.66960060538536,0.101636929514612,0.465236701819562
Haptophyta,AVITI_Unique_vs_Both,0.344041729616324,0.105362572108792,0.465236701819562
Foraminifera,MiSeq_Unique_vs_Both,3.67517321862525,0.125152464255213,0.483347448158063
Choanoflagellata,AVITI_Unique_vs_Both,0.209582516342413,0.121622588984174,0.483347448158063
Nemertea,AVITI_Unique_vs_Both,2.3493134001011,0.139141651184428,0.519462164421865
Hemichordata,AVITI_Unique_vs_Both,3.50526773796856,0.163495604718292,0.569258517896836
Choanozoa,AVITI_Unique_vs_Both,3.50526773796856,0.163495604718292,0.569258517896836
unknown,AVITI_Unique_vs_Both,0.597951500127995,0.167727956166032,0.569258517896836
Arthropoda,MiSeq_Unique_vs_Both,2.09596232963411,0.199508720063456,0.65720519550315
Bacillariophyta,MiSeq_Unique_vs_Both,0.274726553162443,0.243055186270636,0.687149585108769
Chlorophyta,MiSeq_Unique_vs_Both,1.95511916146537,0.297199043601194,0.687149585108769
Cnidaria,AVITI_Unique_vs_Both,1.33754965829555,0.289410480195495,0.687149585108769
Oomycota,MiSeq_Unique_vs_Both,3.59902501864211,0.272470160629415,0.687149585108769
Nemertea,MiSeq_Unique_vs_Both,3.59902501864211,0.272470160629415,0.687149585108769
Endomyxa,MiSeq_Unique_vs_Both,3.59902501864211,0.272470160629415,0.687149585108769
Retaria,MiSeq_Unique_vs_Both,0,0.251895115650439,0.687149585108769
Cercozoa,MiSeq_Unique_vs_Both,0,0.252819260674634,0.687149585108769
Xenacoelomorpha,AVITI_Unique_vs_Both,Inf,0.300627943485086,0.687149585108769
Aphelida,AVITI_Unique_vs_Both,Inf,0.300627943485086,0.687149585108769
Evosea,AVITI_Unique_vs_Both,Inf,0.300627943485086,0.687149585108769
Planctomycetes,AVITI_Unique_vs_Both,Inf,0.300627943485086,0.687149585108769
Nematoda,AVITI_Unique_vs_Both,Inf,0.300627943485086,0.687149585108769
Kinorhyncha,AVITI_Unique_vs_Both,Inf,0.300627943485086,0.687149585108769
Brachiopoda,AVITI_Unique_vs_Both,Inf,0.300627943485086,0.687149585108769
Mucoromycota,AVITI_Unique_vs_Both,0,0.322602865648823,0.708461195150356
Haptista,AVITI_Unique_vs_Both,0,0.322602865648823,0.708461195150356
Ciliophora,MiSeq_Unique_vs_Both,0.311108696257106,0.353257278391097,0.760861830380824
Oomycota,AVITI_Unique_vs_Both,1.66971481142426,0.360597354009647,0.76201704998265
unknown,MiSeq_Unique_vs_Both,0,0.40242730860773,0.834664047482698
Cnidaria,MiSeq_Unique_vs_Both,1.66881251209015,0.431559089164354,0.878811236116503
Euglenozoa,MiSeq_Unique_vs_Both,1.46816359214205,0.513111430370445,1
Euglenozoa,AVITI_Unique_vs_Both,1.09669890131468,0.827519369471959,1
Ciliophora,AVITI_Unique_vs_Both,0.858251808162538,0.575582220301069,1
Chlorophyta,AVITI_Unique_vs_Both,0.983772366174912,1,1
Arthropoda,AVITI_Unique_vs_Both,1.00625477632665,1,1
Annelida,MiSeq_Unique_vs_Both,1.08043645977389,0.709345352295584,1
Zoopagomycota,AVITI_Unique_vs_Both,0,1,1
Ochrophyta,MiSeq_Unique_vs_Both,1.28467995702667,0.670485517137763,1
Endomyxa,AVITI_Unique_vs_Both,0.99699458593931,1,1
Bigyra,MiSeq_Unique_vs_Both,1.24396084332828,0.568757610431166,1
Bigyra,AVITI_Unique_vs_Both,0.693273562970699,0.521465184119905,1
Chordata,MiSeq_Unique_vs_Both,0,0.620318736316341,1
Retaria,AVITI_Unique_vs_Both,0.853343415981575,0.673197511532991,1
Haptophyta,MiSeq_Unique_vs_Both,0,1,1
Echinodermata,MiSeq_Unique_vs_Both,0,1,1
Echinodermata,AVITI_Unique_vs_Both,1.3985676635878,0.703128680779193,1
Chaetognatha,MiSeq_Unique_vs_Both,0,1,1
Chaetognatha,AVITI_Unique_vs_Both,1.5532267828324,0.639987979896809,1
Streptophyta,MiSeq_Unique_vs_Both,0,1,1
Apicomplexa,MiSeq_Unique_vs_Both,0,1,1
Apicomplexa,AVITI_Unique_vs_Both,0.996970660619893,1,1
Mollusca,MiSeq_Unique_vs_Both,0,1,1
Ascomycota,MiSeq_Unique_vs_Both,0,1,1
Prasinodermophyta,MiSeq_Unique_vs_Both,0,1,1
Prasinodermophyta,AVITI_Unique_vs_Both,1.16345266118879,1,1
Bryozoa,MiSeq_Unique_vs_Both,0,1,1
Bryozoa,AVITI_Unique_vs_Both,2.33161558614805,0.58809435537743,1
Cryptista,MiSeq_Unique_vs_Both,0,1,1
Choanoflagellata,MiSeq_Unique_vs_Both,0,1,1
Xenacoelomorpha,MiSeq_Unique_vs_Both,0,1,1
Platyhelminthes,MiSeq_Unique_vs_Both,0,1,1
Platyhelminthes,AVITI_Unique_vs_Both,0.580716439006205,1,1
Chytridiomycota,MiSeq_Unique_vs_Both,0,1,1
Chytridiomycota,AVITI_Unique_vs_Both,0.93023657855871,1,1
Tubulinea,MiSeq_Unique_vs_Both,0,1,1
Tubulinea,AVITI_Unique_vs_Both,0.775034921564324,1,1
Aphelida,MiSeq_Unique_vs_Both,0,1,1
Evosea,MiSeq_Unique_vs_Both,0,1,1
Planctomycetes,MiSeq_Unique_vs_Both,0,1,1
Rotifera,MiSeq_Unique_vs_Both,0,1,1
Rotifera,AVITI_Unique_vs_Both,0.580716439006205,1,1
Fornicata,MiSeq_Unique_vs_Both,0,1,1
Fornicata,AVITI_Unique_vs_Both,2.32813162459739,0.511043888218167,1
Nematoda,MiSeq_Unique_vs_Both,0,1,1
Kinorhyncha,MiSeq_Unique_vs_Both,0,1,1
Brachiopoda,MiSeq_Unique_vs_Both,0,1,1
Ctenophora,MiSeq_Unique_vs_Both,0,1,1
Picozoa,MiSeq_Unique_vs_Both,0,1,1
Picozoa,AVITI_Unique_vs_Both,0,0.558325021668769,1
Mucoromycota,MiSeq_Unique_vs_Both,0,1,1
Haptista,MiSeq_Unique_vs_Both,0,1,1
Perkinsozoa,MiSeq_Unique_vs_Both,0,1,1
Perkinsozoa,AVITI_Unique_vs_Both,0,0.558325021668769,1
Heterolobosea,MiSeq_Unique_vs_Both,0,1,1
Heterolobosea,AVITI_Unique_vs_Both,0,1,1
Gastrotricha,MiSeq_Unique_vs_Both,0,1,1
Gastrotricha,AVITI_Unique_vs_Both,0,1,1
